country,datetime,demand,ramp,absolute_ramp
Spain,2024-05-10 15:45:00,26563.0,-8.0,8.0
Spain,2024-05-10 15:50:00,26593.0,30.0,30.0
Spain,2024-05-10 15:55:00,26433.0,-160.0,160.0
Spain,2024-05-10 16:00:00,26396.0,-37.0,37.0
Spain,2024-05-10 16:05:00,26442.0,46.0,46.0
Spain,2024-05-10 16:10:00,26747.0,305.0,305.0
Spain,2024-05-10 16:15:00,26679.0,-68.0,68.0
Spain,2024-05-10 16:20:00,26721.0,42.0,42.0
Spain,2024-05-10 16:25:00,26634.0,-87.0,87.0
Spain,2024-05-10 16:30:00,26743.0,109.0,109.0
Spain,2024-05-10 16:35:00,26760.0,17.0,17.0
Spain,2024-05-10 16:40:00,26573.0,-187.0,187.0
Spain,2024-05-10 16:45:00,26642.0,69.0,69.0
Spain,2024-05-10 16:50:00,26759.0,117.0,117.0
Spain,2024-05-10 16:55:00,26767.0,8.0,8.0
Spain,2024-05-10 17:00:00,26688.0,-79.0,79.0
Spain,2024-05-10 17:05:00,26912.0,224.0,224.0
Spain,2024-05-10 17:10:00,26968.0,56.0,56.0
Spain,2024-05-10 17:15:00,27035.0,67.0,67.0
Spain,2024-05-10 17:20:00,27192.0,157.0,157.0
Spain,2024-05-10 17:25:00,27223.0,31.0,31.0
Spain,2024-05-10 17:30:00,27210.0,-13.0,13.0
Spain,2024-05-10 17:35:00,27339.0,129.0,129.0
Spain,2024-05-10 17:40:00,27389.0,50.0,50.0
Spain,2024-05-10 17:45:00,27484.0,95.0,95.0
Spain,2024-05-10 17:50:00,27458.0,-26.0,26.0
Spain,2024-05-10 17:55:00,27630.0,172.0,172.0
Spain,2024-05-10 18:00:00,27821.0,191.0,191.0
Spain,2024-05-10 18:05:00,27717.0,-104.0,104.0
Spain,2024-05-10 18:10:00,27737.0,20.0,20.0
Spain,2024-05-10 18:15:00,27626.0,-111.0,111.0
Spain,2024-05-10 18:20:00,27829.0,203.0,203.0
Spain,2024-05-10 18:25:00,27901.0,72.0,72.0
Spain,2024-05-10 18:30:00,27969.0,68.0,68.0
Spain,2024-05-10 18:35:00,27995.0,26.0,26.0
Spain,2024-05-10 18:40:00,28190.0,195.0,195.0
Spain,2024-05-10 18:45:00,28201.0,11.0,11.0
Spain,2024-05-10 18:50:00,28180.0,-21.0,21.0
Spain,2024-05-10 18:55:00,28174.0,-6.0,6.0
Spain,2024-05-10 19:00:00,28212.0,38.0,38.0
Spain,2024-05-10 19:05:00,28421.0,209.0,209.0
Spain,2024-05-10 19:10:00,28548.0,127.0,127.0
Spain,2024-05-10 19:15:00,28573.0,25.0,25.0
Spain,2024-05-10 19:20:00,28635.0,62.0,62.0
Spain,2024-05-10 19:25:00,28564.0,-71.0,71.0
Spain,2024-05-10 19:30:00,28645.0,81.0,81.0
Spain,2024-05-10 19:35:00,28858.0,213.0,213.0
Spain,2024-05-10 19:40:00,28932.0,74.0,74.0
Spain,2024-05-10 19:45:00,28900.0,-32.0,32.0
Spain,2024-05-10 19:50:00,28835.0,-65.0,65.0
Spain,2024-05-10 19:55:00,29244.0,409.0,409.0
Spain,2024-05-10 20:00:00,29001.0,-243.0,243.0
Spain,2024-05-10 20:05:00,29155.0,154.0,154.0
Spain,2024-05-10 20:10:00,29415.0,260.0,260.0
Spain,2024-05-10 20:15:00,29568.0,153.0,153.0
Spain,2024-05-10 20:20:00,29601.0,33.0,33.0
Spain,2024-05-10 20:25:00,29666.0,65.0,65.0
Spain,2024-05-10 20:30:00,29674.0,8.0,8.0
Spain,2024-05-10 20:35:00,29668.0,-6.0,6.0
Spain,2024-05-10 20:40:00,29586.0,-82.0,82.0
Spain,2024-05-10 20:45:00,29644.0,58.0,58.0
Spain,2024-05-10 20:50:00,29839.0,195.0,195.0
Spain,2024-05-10 20:55:00,29819.0,-20.0,20.0
Spain,2024-05-10 21:00:00,29808.0,-11.0,11.0
Spain,2024-05-10 21:05:00,30054.0,246.0,246.0
Spain,2024-05-10 21:10:00,30131.0,77.0,77.0
Spain,2024-05-10 21:15:00,30179.0,48.0,48.0
Spain,2024-05-10 21:20:00,30495.0,316.0,316.0
Spain,2024-05-10 21:25:00,30683.0,188.0,188.0
Spain,2024-05-10 21:30:00,30602.0,-81.0,81.0
Spain,2024-05-10 21:35:00,30709.0,107.0,107.0
Spain,2024-05-10 21:40:00,30722.0,13.0,13.0
Spain,2024-05-10 21:45:00,30613.0,-109.0,109.0
Spain,2024-05-10 21:50:00,30400.0,-213.0,213.0
Spain,2024-05-10 21:55:00,30288.0,-112.0,112.0
Spain,2024-05-10 22:00:00,30157.0,-131.0,131.0
Spain,2024-05-10 22:05:00,29889.0,-268.0,268.0
Spain,2024-05-10 22:10:00,29749.0,-140.0,140.0
Spain,2024-05-10 22:15:00,29552.0,-197.0,197.0
Spain,2024-05-10 22:20:00,29205.0,-347.0,347.0
Spain,2024-05-10 22:25:00,29080.0,-125.0,125.0
