elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
240.0,2008-01-01,2024-01-01,40.7181,"MAS DE BARBERANS ABOCADOR, SP",0.8817,GHCND:SPE00156342,METERS,0.3994
1405.0,2008-01-01,2024-01-01,42.3769,"MOLLO FABERT, SP",0.8817,GHCND:SPE00156351,METERS,2.4142
1572.0,2008-01-01,2024-01-01,42.0514,"MONTSEC, SP",0.8817,GHCND:SPE00156360,METERS,0.7292
916.0,2008-01-01,2024-01-01,41.5953,"MONTSERRAT SANT DIMES, SP",0.8229,GHCND:SPE00156369,METERS,1.8375
816.0,2008-01-01,2024-01-01,41.8781,"MUNTANYOLA, SP",0.8817,GHCND:SPE00156378,METERS,2.1783
1971.0,2008-01-01,2024-01-01,42.3817,"NURIA, SP",0.8817,GHCND:SPE00156387,METERS,2.1553
333.0,2008-01-01,2024-01-01,41.5864,"ODENA, SP",0.8817,GHCND:SPE00156396,METERS,1.6531
421.0,2008-01-01,2016-01-01,42.1914,"OLOT PLA DE BAIX, SP",0.8881,GHCND:SPE00156405,METERS,2.4825
566.0,2008-01-01,2024-01-01,42.2158,"ORGANYA, SP",0.8817,GHCND:SPE00156414,METERS,1.3314
626.0,2008-01-01,2024-01-01,42.0739,"ORIS, SP",0.8817,GHCND:SPE00156423,METERS,2.2083
123.0,2009-01-01,2024-01-01,41.5669,"PARETS DEL VALLES, SP",0.8744,GHCND:SPE00156432,METERS,2.2258
1055.0,2008-01-01,2024-01-01,40.7967,"PN DELS PORTS, SP",0.8817,GHCND:SPE00156441,METERS,0.3181
196.0,2008-01-01,2024-01-01,42.4353,"PORTBOU, SP",0.8817,GHCND:SPE00156450,METERS,3.1658
1668.0,2011-01-01,2024-01-01,41.7733,"PUIG SESOLLES, SP",0.8565,GHCND:SPE00156459,METERS,2.4378
286.0,2008-01-01,2024-01-01,41.6831,"RAIMAT, SP",0.8817,GHCND:SPE00156468,METERS,0.4483
24.0,2008-01-01,2024-01-01,42.2706,"ROSES, SP",0.8817,GHCND:SPE00156477,METERS,3.1817
258.0,2009-01-01,2024-01-01,41.5656,"SABADELL PARC AGRARI, SP",0.8744,GHCND:SPE00156486,METERS,2.0692
2451.0,2008-01-01,2024-01-01,42.5192,"SALORIA, SP",0.9404,GHCND:SPE00156495,METERS,1.3656
158.0,2014-01-01,2024-01-01,41.4831,"SANT CUGAT DEL VALLES CAR, SP",0.8176,GHCND:SPE00156504,METERS,2.0792
852.0,2008-01-01,2024-01-01,42.2581,"SANT PAU DE SEGURIES, SP",0.8817,GHCND:SPE00156513,METERS,2.3642
4.0,2008-01-01,2024-01-01,42.1769,"SANT PERE PESCADOR, SP",0.8817,GHCND:SPE00156522,METERS,3.0967
690.0,2008-01-01,2024-01-01,42.1392,"SANT ROMA DABELLA, SP",0.8817,GHCND:SPE00156531,METERS,1.0389
349.0,2008-01-01,2024-01-01,41.6739,"SANT SALVADOR DE GUARDIOLA, SP",0.8817,GHCND:SPE00156540,METERS,1.7678
1167.0,2008-01-01,2024-01-01,42.1069,"SANTUARI DE QUERALT, SP",0.8817,GHCND:SPE00156549,METERS,1.8267
2228.0,2008-01-01,2024-01-01,42.77,"SASSEUVA, SP",0.8817,GHCND:SPE00156558,METERS,0.7317
691.0,2013-01-01,2024-01-01,41.9878,"SOLSONA, SP",0.8328,GHCND:SPE00156567,METERS,1.5117
5.0,2010-01-01,2024-01-01,41.1039,"TARRAGONA COMPLEX EDUCATIU, SP",0.9327,GHCND:SPE00156576,METERS,1.2008
427.0,2008-01-01,2024-01-01,41.6667,"TARREGA, SP",0.8817,GHCND:SPE00156585,METERS,1.1653
2.0,2008-01-01,2024-01-01,41.1467,"TORREDEMBARRA, SP",0.8817,GHCND:SPE00156594,METERS,1.4181
687.0,2009-01-01,2024-01-01,41.32,"ULLDEMOLINS, SP",0.8744,GHCND:SPE00156603,METERS,0.8856
252.0,2008-01-01,2024-01-01,41.3817,"VALLIRANA, SP",0.8817,GHCND:SPE00156612,METERS,1.9356
1002.0,2008-01-01,2021-01-01,42.6983,"VIELHA E MIJARAN, SP",0.8565,GHCND:SPE00156621,METERS,0.7939
953.0,2008-01-01,2024-01-01,41.84,"VILADRAU, SP",0.8817,GHCND:SPE00156630,METERS,2.4183
594.0,2008-01-01,2024-01-01,41.9956,"VILANOVA DE MEIA, SP",0.8817,GHCND:SPE00156639,METERS,1.0256
287.0,2008-01-01,2024-01-01,41.3069,"VILA RODONA, SP",0.8817,GHCND:SPE00156648,METERS,1.3625
