station_id,date,wind_vmean_m_s,wind_racha_m_s,wind_dir_racha_d_g
4411C,2025-04-30,2.5,12.2,18.0
8025,2025-04-30,4.4,15.3,8.0
5995B,2025-04-30,2.5,11.4,9.0
2444,2025-04-30,5.8,14.4,15.0
4220X,2025-04-30,1.7,10.3,26.0
6329X,2025-04-30,11.1,29.7,8.0
2290Y,2025-04-30,3.3,13.3,23.0
1083B,2025-04-30,2.5,13.6,12.0
2044B,2025-04-30,6.1,12.5,99.0
9294E,2025-04-30,7.8,15.8,9.0
9377Y,2025-04-30,5.8,12.2,13.0
5582A,2025-04-30,2.2,9.2,7.0
C148F,2025-04-30,3.6,14.2,31.0
2946X,2025-04-30,1.1,12.8,23.0
8096,2025-04-30,3.3,12.8,14.0
4096Y,2025-04-30,3.9,14.2,12.0
2966D,2025-04-30,4.7,17.8,22.0
4549Y,2025-04-30,3.1,9.2,16.0
9918Y,2025-04-30,3.9,11.4,12.0
2930Y,2025-04-30,1.7,10.0,99.0
5394X,2025-04-30,1.1,11.4,26.0
3195,2025-04-30,3.3,12.8,30.0
2604B,2025-04-30,1.7,15.6,26.0
3436D,2025-04-30,3.6,14.7,27.0
4245X,2025-04-30,1.4,7.5,19.0
C117Z,2025-04-30,8.1,15.0,28.0
9263X,2025-04-30,3.1,14.7,12.0
5891X,2025-04-30,1.7,8.3,18.0
3434X,2025-04-30,3.9,12.5,23.0
2503B,2025-04-30,3.6,18.3,22.0
9550C,2025-04-30,6.7,16.4,10.0
1276F,2025-04-30,1.4,6.7,25.0
6302A,2025-04-30,2.8,12.2,7.0
9491X,2025-04-30,6.1,14.2,10.0
7247X,2025-04-30,3.3,10.0,7.0
2661,2025-04-30,4.4,21.1,22.0
3191E,2025-04-30,3.3,12.8,14.0
C317B,2025-04-30,3.1,11.9,34.0
7007Y,2025-04-30,7.2,21.1,6.0
5769X,2025-04-30,0.8,7.5,12.0
C917E,2025-04-30,8.3,18.9,10.0
0320I,2025-04-30,1.4,8.3,10.0
C689E,2025-04-30,3.3,7.5,17.0
6156X,2025-04-30,3.6,8.9,11.0
1033X,2025-04-30,4.7,19.2,22.0
7096B,2025-04-30,4.2,10.8,32.0
9228J,2025-04-30,3.1,14.7,22.0
3182Y,2025-04-30,5.3,14.4,12.0
1486E,2025-04-30,0.8,5.8,23.0
3170Y,2025-04-30,4.4,12.5,14.0
2059B,2025-04-30,8.3,16.9,8.0
3100B,2025-04-30,5.3,15.0,10.0
0092X,2025-04-30,2.8,7.2,99.0
6299I,2025-04-30,8.6,14.4,18.0
7138B,2025-04-30,6.4,12.5,8.0
C658X,2025-04-30,2.8,9.2,33.0
4263X,2025-04-30,2.5,12.2,23.0
5704B,2025-04-30,1.4,10.0,28.0
5051X,2025-04-30,2.8,9.7,9.0
9935X,2025-04-30,3.3,11.1,11.0
C048W,2025-04-30,4.4,9.7,31.0
5402,2025-04-30,1.4,16.4,25.0
1052A,2025-04-30,3.3,22.2,19.0
6205X,2025-04-30,4.2,8.3,15.0
9374X,2025-04-30,6.1,13.9,19.0
5298X,2025-04-30,3.3,15.3,26.0
C659H,2025-04-30,3.9,10.3,35.0
9698U,2025-04-30,3.1,11.1,18.0
0201D,2025-04-30,4.2,8.3,11.0
C619X,2025-04-30,3.3,10.3,23.0
8368U,2025-04-30,3.3,12.8,13.0
4622X,2025-04-30,1.4,8.1,17.0
2150H,2025-04-30,10.0,23.6,19.0
2614,2025-04-30,2.8,13.9,24.0
5996B,2025-04-30,4.2,10.8,14.0
9561X,2025-04-30,4.4,11.4,8.0
4138Y,2025-04-30,2.5,13.9,11.0
1542,2025-04-30,5.0,15.0,13.0
3266A,2025-04-30,6.7,15.0,13.0
9898,2025-04-30,5.6,14.4,12.0
9170,2025-04-30,8.6,16.9,11.0
1056K,2025-04-30,3.3,12.2,17.0
4386B,2025-04-30,4.2,11.1,21.0
1309C,2025-04-30,2.2,27.2,22.0
1496X,2025-04-30,0.8,5.3,30.0
3475X,2025-04-30,3.9,12.2,9.0
4362X,2025-04-30,2.2,10.3,24.0
9744B,2025-04-30,1.9,8.6,24.0
5530E,2025-04-30,4.4,13.9,17.0
1038X,2025-04-30,2.2,13.9,11.0
6172X,2025-04-30,2.8,8.3,13.0
4300Y,2025-04-30,1.4,12.5,32.0
3512X,2025-04-30,3.3,12.5,2.0
2456B,2025-04-30,4.4,16.4,26.0
2140A,2025-04-30,5.6,15.0,23.0
9299X,2025-04-30,4.7,13.1,10.0
C619Y,2025-04-30,4.7,11.1,99.0
8458X,2025-04-30,6.9,15.0,13.0
9855E,2025-04-30,2.5,8.6,16.0
5390Y,2025-04-30,1.9,10.6,99.0
5406X,2025-04-30,1.7,8.6,31.0
9262P,2025-04-30,9.2,19.7,14.0
C628B,2025-04-30,5.0,10.0,14.0
0349,2025-04-30,1.7,8.3,16.0
9073X,2025-04-30,11.9,23.6,13.0
6155A,2025-04-30,3.3,9.2,9.0
7261X,2025-04-30,8.6,17.5,6.0
B275E,2025-04-30,5.0,11.9,7.0
2804F,2025-04-30,4.7,21.1,24.0
7002Y,2025-04-30,5.6,13.9,14.0
2734D,2025-04-30,2.2,14.7,22.0
C669B,2025-04-30,3.3,7.8,29.0
0284X,2025-04-30,1.7,5.8,99.0
1428,2025-04-30,1.7,10.3,25.0
9381I,2025-04-30,3.3,11.1,8.0
B248,2025-04-30,11.9,18.1,15.0
4501X,2025-04-30,5.3,11.7,20.0
2302N,2025-04-30,5.0,12.2,24.0
9344C,2025-04-30,4.4,12.8,3.0
B954,2025-04-30,7.2,15.3,6.0
9352A,2025-04-30,7.5,16.7,9.0
8198Y,2025-04-30,3.3,11.4,7.0
9211F,2025-04-30,4.7,15.0,17.0
9274X,2025-04-30,5.0,16.9,14.0
9453X,2025-04-30,2.2,9.2,26.0
2870,2025-04-30,3.1,15.3,20.0
3298X,2025-04-30,1.9,11.4,25.0
9122I,2025-04-30,5.8,17.5,14.0
6307C,2025-04-30,1.9,9.4,15.0
1207U,2025-04-30,1.7,9.7,26.0
8270X,2025-04-30,3.3,10.6,6.0
9573X,2025-04-30,4.2,11.4,10.0
9218A,2025-04-30,5.3,16.1,24.0
9001D,2025-04-30,2.8,20.3,24.0
1074C,2025-04-30,3.6,14.7,15.0
9908X,2025-04-30,5.6,13.1,17.0
6040X,2025-04-30,0.6,7.2,19.0
C649R,2025-04-30,3.1,9.2,35.0
9501X,2025-04-30,5.8,15.6,12.0
7119B,2025-04-30,2.5,9.2,99.0
B760X,2025-04-30,2.8,7.5,8.0
9961X,2025-04-30,1.9,13.3,15.0
4148,2025-04-30,3.9,9.7,21.0
9707,2025-04-30,1.9,11.4,10.0
2828Y,2025-04-30,4.4,17.2,22.0
0061X,2025-04-30,4.7,10.8,14.0
2737E,2025-04-30,1.9,12.8,24.0
1179B,2025-04-30,2.8,21.7,23.0
3103,2025-04-30,0.6,8.9,13.0
9091R,2025-04-30,4.7,17.5,12.0
5598X,2025-04-30,4.2,13.6,18.0
2374X,2025-04-30,2.5,12.5,22.0
C239N,2025-04-30,2.5,8.3,34.0
4395X,2025-04-30,4.7,9.2,26.0
2701D,2025-04-30,2.8,21.7,11.0
4195E,2025-04-30,3.9,11.9,27.0
0114X,2025-04-30,1.7,6.4,12.0
2331,2025-04-30,6.9,13.6,25.0
8486X,2025-04-30,4.7,10.3,10.0
3110C,2025-04-30,1.7,9.7,17.0
2491C,2025-04-30,6.1,19.7,23.0
8439X,2025-04-30,1.7,8.6,10.0
7031X,2025-04-30,11.4,17.5,4.0
8155Y,2025-04-30,4.4,15.3,12.0
9513X,2025-04-30,6.4,15.0,9.0
5000C,2025-04-30,2.5,9.4,8.0
C449F,2025-04-30,2.2,10.0,36.0
1199X,2025-04-30,1.1,9.4,26.0
2096B,2025-04-30,5.6,15.0,17.0
1221D,2025-04-30,5.0,,
9111,2025-04-30,4.4,13.6,10.0
2462,2025-04-30,6.7,19.2,12.0
8500A,2025-04-30,2.5,10.6,8.0
4064Y,2025-04-30,4.2,16.4,11.0
C449C,2025-04-30,3.6,12.5,32.0
2664B,2025-04-30,5.6,22.5,26.0
5270B,2025-04-30,2.8,14.2,99.0
4267X,2025-04-30,1.1,9.7,26.0
B605X,2025-04-30,1.7,7.2,6.0
2030,2025-04-30,3.3,11.1,11.0
4121,2025-04-30,3.3,11.7,24.0
1050J,2025-04-30,4.2,24.7,10.0
2565,2025-04-30,5.3,23.1,24.0
1354C,2025-04-30,1.4,9.7,24.0
9981A,2025-04-30,2.2,7.8,10.0
C316I,2025-04-30,5.3,13.9,3.0
1489A,2025-04-30,1.9,7.5,26.0
C649I,2025-04-30,6.1,12.5,35.0
3519X,2025-04-30,2.2,11.9,13.0
B301,2025-04-30,6.1,14.4,8.0
7203A,2025-04-30,3.9,9.2,8.0
2630X,2025-04-30,3.9,14.2,99.0
B013X,2025-04-30,2.8,9.2,13.0
B228,2025-04-30,3.9,10.3,11.0
9677,2025-04-30,3.3,10.0,14.0
2789H,2025-04-30,2.8,22.5,24.0
2775X,2025-04-30,2.5,20.8,23.0
9729X,2025-04-30,3.6,10.3,17.0
7145D,2025-04-30,3.6,11.9,10.0
9771C,2025-04-30,3.6,11.4,13.0
3422D,2025-04-30,4.4,14.7,23.0
8059C,2025-04-30,3.6,10.0,2.0
4554X,2025-04-30,4.2,11.1,12.0
6340X,2025-04-30,5.8,10.6,88.0
2401X,2025-04-30,1.7,16.1,26.0
2465,2025-04-30,3.1,15.0,12.0
0200E,2025-04-30,4.2,8.6,7.0
2135A,2025-04-30,4.2,13.3,9.0
1466A,2025-04-30,1.7,8.6,14.0
B158X,2025-04-30,3.6,10.8,11.0
2243A,2025-04-30,2.2,11.7,29.0
